"date","close","volume","open","high","low"
"16:00","200.99","24,619,446","201.23","202.76","199.29"
"2019/08/09","200.9900","24619750.0000","201.3000","202.7600","199.2900"
"2019/08/08","203.4300","27009520.0000","200.2000","203.5300","199.3900"
"2019/08/07","199.0400","33364400.0000","195.4100","199.5600","193.8200"
"2019/08/06","197.0000","35824790.0000","196.3100","198.0670","194.0400"
"2019/08/05","193.3400","52392970.0000","197.9900","198.6490","192.5800"
"2019/08/02","204.0200","40862120.0000","205.5300","206.4300","201.6300"
"2019/08/01","208.4300","54017920.0000","213.9000","218.0300","206.7435"
"2019/07/31","213.0400","69281360.0000","216.4200","221.3700","211.3000"
"2019/07/30","208.7800","33935720.0000","208.7600","210.1600","207.3100"
"2019/07/29","209.6800","21673390.0000","208.4600","210.6400","208.4400"
"2019/07/26","207.7400","17618870.0000","207.4800","209.7300","207.1400"
"2019/07/25","207.0200","13909560.0000","208.8900","209.2400","206.7300"
"2019/07/24","208.6700","14991570.0000","207.6700","209.1500","207.1700"
"2019/07/23","208.8400","18355210.0000","208.4600","208.9100","207.2900"
"2019/07/22","207.2200","22277930.0000","203.6500","207.2300","203.6100"
"2019/07/19","202.5900","20929310.0000","205.7900","206.5000","202.3600"
"2019/07/18","205.6600","18582160.0000","204.0000","205.8800","203.7000"
"2019/07/17","203.3500","14107450.0000","204.0500","205.0915","203.2700"
"2019/07/16","204.5000","16866820.0000","204.5900","206.1100","203.5000"
"2019/07/15","205.2100","16947420.0000","204.0900","205.8700","204.0000"
"2019/07/12","203.3000","17595210.0000","202.4500","204.0000","202.2000"
"2019/07/11","201.7500","20191840.0000","203.3100","204.3900","201.7100"
"2019/07/10","203.2300","17897140.0000","201.8500","203.7300","201.5600"
"2019/07/09","201.2400","20578020.0000","199.2000","201.5100","198.8100"
"2019/07/08","200.0200","25338630.0000","200.8100","201.4000","198.4100"
"2019/07/05","204.2300","17265520.0000","203.3500","205.0800","202.9000"
"2019/07/03","204.4100","11362050.0000","203.2800","204.4400","202.6901"
"2019/07/02","202.7300","16935220.0000","201.4100","203.1323","201.3600"
"2019/07/01","201.5500","27316740.0000","203.1700","204.4900","200.6500"
"2019/06/28","197.9200","31110640.0000","198.6800","199.4950","197.0500"
"2019/06/27","199.7400","20899720.0000","200.2900","201.5700","199.5700"
"2019/06/26","199.8000","26067510.0000","197.7700","200.9900","197.3500"
"2019/06/25","195.5700","21070330.0000","198.4300","199.2600","195.2900"
"2019/06/24","198.5800","18220420.0000","198.5400","200.1600","198.1700"
"2019/06/21","198.7800","47800590.0000","198.8000","200.8500","198.1500"
"2019/06/20","199.4600","21513990.0000","200.3700","200.6100","198.0300"
"2019/06/19","197.8700","21124240.0000","199.6800","199.8800","197.3100"
"2019/06/18","198.4500","26551000.0000","196.0500","200.2900","195.2100"
"2019/06/17","193.8900","14669140.0000","192.9000","194.9600","192.1700"
"2019/06/14","192.7400","18761470.0000","191.5450","193.5863","190.3000"
"2019/06/13","194.1500","21674630.0000","194.7000","196.7900","193.6000"
"2019/06/12","194.1900","18253190.0000","193.9500","195.9700","193.3850"
"2019/06/11","194.8100","26932880.0000","194.8600","196.0000","193.6000"
"2019/06/10","192.5800","26220850.0000","191.8100","195.3700","191.6200"
"2019/06/07","190.1500","30684390.0000","186.5100","191.9200","185.7700"
"2019/06/06","185.2200","22526310.0000","183.0800","185.4700","182.1489"
"2019/06/05","182.5400","29773430.0000","184.2800","184.9900","181.1400"
"2019/06/04","179.6400","30967960.0000","175.4400","179.8300","174.5200"
"2019/06/03","173.3000","40396070.0000","175.6000","177.9200","170.2700"
"2019/05/31","175.0700","27043580.0000","176.2300","177.9900","174.9900"
"2019/05/30","178.3000","21218410.0000","177.9500","179.2300","176.6700"
"2019/05/29","177.3800","28481170.0000","176.4200","179.3500","176.0000"
"2019/05/28","178.2300","27948160.0000","178.9200","180.5900","177.9100"
"2019/05/24","178.9700","23714690.0000","180.2000","182.1400","178.6200"
"2019/05/23","179.6600","36529740.0000","179.8000","180.5400","177.8100"
"2019/05/22","182.7800","29748560.0000","184.6600","185.7100","182.5500"
"2019/05/21","186.6000","28364850.0000","185.2200","188.0000","184.7000"
"2019/05/20","183.0900","38612290.0000","183.5200","184.3490","180.2839"
"2019/05/17","189.0000","32879090.0000","186.9300","190.9000","186.7600"
"2019/05/16","190.0800","33031360.0000","189.9100","192.4689","188.8400"
"2019/05/15","190.9200","26544720.0000","186.2700","191.7500","186.0200"
"2019/05/14","188.6600","36529680.0000","186.4100","189.7000","185.4100"
"2019/05/13","185.7200","57430620.0000","187.7100","189.4800","182.8500"
"2019/05/10","197.1800","41208710.0000","197.4190","198.8500","192.7700"
"2019/05/09","200.7200","34908610.0000","200.4000","201.6800","196.6600"
"2019/05/08","202.9000","26339500.0000","201.9000","205.3400","201.7500"
"2019/05/07","202.8600","38763700.0000","205.8800","207.4175","200.8250"
"2019/05/06","208.4800","32443110.0000","204.2900","208.8400","203.5000"
"2019/05/03","211.7500","20892380.0000","210.8900","211.8400","210.2300"
"2019/05/02","209.1500","31996320.0000","209.8400","212.6500","208.1300"
"2019/05/01","210.5200","64827330.0000","209.8800","215.3100","209.2300"
"2019/04/30","200.6700","45751160.0000","203.0600","203.4000","199.1100"
"2019/04/29","204.6100","22010360.0000","204.4000","205.9700","203.8600"
"2019/04/26","204.3000","18612770.0000","204.9000","205.0000","202.1200"
"2019/04/25","205.2800","18463850.0000","206.8300","207.7600","205.1200"
"2019/04/24","207.1600","17427570.0000","207.3600","208.4800","207.0500"
"2019/04/23","207.4800","23286380.0000","204.4300","207.7500","203.9000"
"2019/04/22","204.5300","17841920.0000","202.8300","204.9400","202.3400"
"2019/04/18","203.8600","24185530.0000","203.1200","204.1500","202.5200"
"2019/04/17","203.1300","28865310.0000","199.5400","203.3800","198.6100"
"2019/04/16","199.2500","25668330.0000","199.4600","201.3700","198.5600"
"2019/04/15","199.2300","17524150.0000","198.5800","199.8500","198.0100"
"2019/04/12","198.8700","27738580.0000","199.2000","200.1400","196.2100"
"2019/04/11","198.9500","20543190.0000","200.8500","201.0000","198.4431"
"2019/04/10","200.6200","21654750.0000","198.6800","200.7400","198.1800"
"2019/04/09","199.5000","35738280.0000","200.3200","202.8500","199.2300"
"2019/04/08","200.1000","25829880.0000","196.4200","200.2300","196.3400"
"2019/04/05","197.0000","18473070.0000","196.4500","197.1000","195.9300"
"2019/04/04","195.6900","19090050.0000","194.7900","196.3700","193.1400"
"2019/04/03","195.3500","23243160.0000","193.2500","196.5000","193.1500"
"2019/04/02","194.0200","22727370.0000","191.0900","194.4600","191.0500"
"2019/04/01","191.2400","27308200.0000","191.6400","191.6800","188.3800"
"2019/03/29","189.9500","23524830.0000","189.8300","190.0800","188.5400"
"2019/03/28","188.7200","20710390.0000","188.9500","189.5590","187.5300"
"2019/03/27","188.4700","29771210.0000","188.7500","189.7600","186.5500"
"2019/03/26","186.7900","49696100.0000","191.6640","192.8800","184.5800"
"2019/03/25","188.7400","43751810.0000","191.5100","191.9800","186.6000"
"2019/03/22","191.0500","42287640.0000","195.3400","197.6900","190.7800"
"2019/03/21","195.0900","50943120.0000","190.0200","196.3300","189.8100"
"2019/03/20","188.1600","31003380.0000","186.2300","189.4900","184.7300"
"2019/03/19","186.5300","31440300.0000","188.3500","188.9900","185.9200"
"2019/03/18","188.0200","26148590.0000","185.8000","188.3900","185.7900"
"2019/03/15","186.1200","39017490.0000","184.8500","187.3300","183.7400"
"2019/03/14","183.7300","23527660.0000","183.9000","184.1000","182.5600"
"2019/03/13","181.7100","30929740.0000","182.2500","183.3000","180.9200"
"2019/03/12","180.9100","32416800.0000","180.0000","182.6700","179.3700"
"2019/03/11","178.9000","31123000.0000","175.4900","179.1200","175.3500"
"2019/03/08","172.9100","23985960.0000","170.3200","173.0700","169.5000"
"2019/03/07","172.5000","24755470.0000","173.8700","174.4400","172.0200"
"2019/03/06","174.5200","20755140.0000","174.6700","175.4900","173.9400"
"2019/03/05","175.5300","19238480.0000","175.9400","176.0000","174.5400"
"2019/03/04","175.8500","27413060.0000","175.6900","177.7500","173.9700"
"2019/03/01","174.9700","25737560.0000","174.2800","175.1500","172.8900"
"2019/02/28","173.1500","27953810.0000","174.3200","174.9100","172.9200"
"2019/02/27","174.8700","27817640.0000","173.2100","175.0000","172.7300"
"2019/02/26","174.3300","16991610.0000","173.7100","175.3000","173.1732"
"2019/02/25","174.2300","21846400.0000","174.1600","175.8700","173.9500"
"2019/02/22","172.9700","18890250.0000","171.5800","173.0000","171.3800"
"2019/02/21","171.0600","17154540.0000","171.8000","172.3700","170.3000"
"2019/02/20","172.0300","25323890.0000","171.1900","173.3200","170.9900"
"2019/02/19","170.9300","18958570.0000","169.7100","171.4400","169.4900"
"2019/02/15","170.4200","24603320.0000","171.2500","171.7000","169.7500"
"2019/02/14","170.8000","21785180.0000","169.7100","171.2615","169.3800"
"2019/02/13","170.1800","22389660.0000","171.3900","172.4800","169.9200"
"2019/02/12","170.8900","22224400.0000","170.1000","171.0000","169.7000"
"2019/02/11","169.4300","20940020.0000","171.0500","171.2100","169.2500"
"2019/02/08","170.4100","23793830.0000","168.9900","170.6600","168.4200"
"2019/02/07","170.9400","31644240.0000","172.4000","173.9400","170.3400"
"2019/02/06","174.2400","28204640.0000","174.6500","175.5700","172.8531"
"2019/02/05","174.1800","36054570.0000","172.8600","175.0800","172.3501"
"2019/02/04","171.2500","31384720.0000","167.4100","171.6550","167.2800"
